EPOCH,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,BSTAR,TLE_LINE1,TLE_LINE2
2022-01-29 22:00:00.999936,50803,15.73205486,0.00016790,53.2146,85.1468,36.5582,332.6285,0.00052936,0.00037912000000,1 50803U 22001A   22029.91667824  .00052936  00000-0  37912-3 0  9999,2 50803  53.2146  85.1468 0001679  36.5582 332.6285 15.73205486  3725
2022-01-30 06:00:00.999648,50803,15.73328907,0.00020540,53.2156,83.4971,45.3993,52.7372,-0.00310897,-0.00228050000000,1 50803U 22001A   22030.25001157 -.00310897  00000-0 -22805-2 0  9998,2 50803  53.2156  83.4971 0002054  45.3993  52.7372 15.73328907  4988
2022-01-30 14:00:01.000224,50803,15.73178955,0.00020600,53.2149,81.8496,38.2120,148.8741,0.00072084,0.00051406000000,1 50803U 22001A   22030.58334491  .00072084  00000-0  51406-3 0  9995,2 50803  53.2149  81.8496 0002060  38.2120 148.8741 15.73178955  5034
2022-01-30 20:00:01.000224,50803,15.73253191,0.00019300,53.2149,80.6109,38.0909,125.6899,-0.00099995,-0.00071484000000,1 50803U 22001A   22030.83334491 -.00099995  00000-0 -71484-3 0  9993,2 50803  53.2149  80.6109 0001930  38.0909 125.6899 15.73253191  5077
2022-01-30 22:00:00.999936,50803,15.73200632,0.00018700,53.2150,80.1981,39.3461,236.6897,-0.00009863,-0.00006592500000,1 50803U 22001A   22030.91667824 -.00009863  00000-0 -65925-4 0  9990,2 50803  53.2150  80.1981 0001870  39.3461 236.6897 15.73200632  3736
2022-01-31 06:00:00.999648,50803,15.73247544,0.00018520,53.2149,78.5488,36.3225,328.6245,-0.00090494,-0.00064593000000,1 50803U 22001A   22031.25001157 -.00090494  00000-0 -64593-3 0  9998,2 50803  53.2149  78.5488 0001852  36.3225 328.6245 15.73247544  5130
2022-01-31 14:00:01.999872,50803,15.73138948,0.00019920,53.2142,76.9008,30.5497,63.4110,0.00085953,0.00061216000000,1 50803U 22001A   22031.58335648  .00085953  00000-0  61216-3 0  9990,2 50803  53.2142  76.9008 0001992  30.5497  63.4110 15.73138948  3720
2022-01-31 22:00:01.999584,50803,15.73183048,0.00017820,53.2140,75.2491,35.2928,147.5722,0.00057175,0.00040931000000,1 50803U 22001A   22031.91668981  .00057175  00000-0  40931-3 0  9992,2 50803  53.2140  75.2491 0001782  35.2928 147.5722 15.73183048  5247
2022-02-01 12:00:00.999648,50803,15.73180655,0.00021360,53.2144,72.3643,37.0570,211.4014,0.00060374,0.00043183000000,1 50803U 22001A   22032.50001157  .00060374  00000-0  43183-3 0  9991,2 50803  53.2144  72.3643 0002136  37.0570 211.4014 15.73180655  5331
2022-02-01 14:00:01.999872,50803,15.73201824,0.00021210,53.2141,71.9517,34.3204,326.4276,0.00010158,0.00007670600000,1 50803U 22001A   22032.58335648  .00010158  00000-0  76706-4 0  9997,2 50803  53.2141  71.9517 0002121  34.3204 326.4276 15.73201824  3686
2022-02-01 20:00:01.000224,50803,15.73232985,0.00018410,53.2144,70.7128,34.6754,302.7094,-0.00146300,-0.00105460000000,1 50803U 22001A   22032.83334491 -.00146300  00000-0 -10546-2 0  9999,2 50803  53.2144  70.7128 0001841  34.6754 302.7094 15.73232985  5381
2022-02-01 22:00:00.999936,50803,15.73170413,0.00017620,53.2144,70.3001,32.6146,57.0192,-0.00056047,-0.00039806000000,1 50803U 22001A   22032.91667824 -.00056047  00000-0 -39806-3 0  9996,2 50803  53.2144  70.3001 0001762  32.6146  57.0192 15.73170413  3713
2022-02-02 06:00:00.999648,50803,15.73145299,0.00018810,53.2143,68.6511,31.2582,147.2451,0.00010964,0.00008262600000,1 50803U 22001A   22033.25001157  .00010964  00000-0  82626-4 0  9990,2 50803  53.2143  68.6511 0001881  31.2582 147.2451 15.73145299  5456
