name,norad_id,tle_line1,tle_line2,epoch,category
STARLINK-11485 [DTC],62229,1 62229U 24231M   25344.17542673  .00218752  00000+0  17557-2 0  9997,2 62229  53.1580 182.4346 0000517  70.2002 289.9072 15.69812739 59357,2025-12-10 04:12:36.869472,starlink
STARLINK-11481 [DTC],62230,1 62230U 24231N   25344.27834405  .00191914  00000+0  15477-2 0  9996,2 62230  53.1574 182.3791 0001408  57.6044 302.5111 15.69784932 59360,2025-12-10 06:40:48.925920,starlink
STARLINK-32650,62231,1 62231U 24231P   25344.19420120  .00074671  00000+0  25044-2 0  9994,2 62231  53.1594 275.5138 0001739 132.6195 227.4952 15.30246540 58061,2025-12-10 04:39:38.983680,starlink
STARLINK-32636,62232,1 62232U 24231Q   25344.21939982  .00043412  00000+0  14695-2 0  9998,2 62232  53.1601 274.9611 0001332  99.0817 261.0335 15.30196112 58075,2025-12-10 05:15:56.144448,starlink
STARLINK-32643,62233,1 62233U 24231R   25344.17674861  .00054942  00000+0  18532-2 0  9990,2 62233  53.1596 262.6218 0001315  73.8802 286.2343 15.30204950 58237,2025-12-10 04:14:31.079904,starlink
STARLINK-32652,62234,1 62234U 24231S   25344.04666794  .00019626  00000+0  67298-3 0  9997,2 62234  53.1586 276.0117 0001529 120.7655 239.3497 15.30200525 58030,2025-12-10 01:07:12.110016,starlink
STARLINK-32631,62235,1 62235U 24231T   25344.16197131  .00021459  00000+0  73422-3 0  9998,2 62235  53.1597 262.5352 0001174  93.5668 266.5467 15.30214402 58231,2025-12-10 03:53:14.321184,starlink
STARLINK-32641,62236,1 62236U 24231U   25344.17990751  .00036913  00000+0  12516-2 0  9996,2 62236  53.1605 262.6396 0000539 268.4263  91.6676 15.30215558 58231,2025-12-10 04:19:04.008864,starlink
QIANFAN-37,62238,1 62238U 24232B   25344.25211325  .00000138  00000+0  19561-3 0  9999,2 62238  89.0024  41.5808 0002678 104.4353 255.7095 13.50977563 98832,2025-12-10 06:03:02.584800,other
QIANFAN-38,62239,1 62239U 24232C   25344.27678943  .00000150  00000+0  21442-3 0  9990,2 62239  89.0031  41.4939 0014396 194.6727 165.4009 13.50980680 98893,2025-12-10 06:38:34.606752,other
